"0.799_0.201";"0.799_0.201";"0.700_0.300";"0.700_0.300";"0.600_0.400";"0.600_0.400";"0.501_0.499";"0.501_0.499";"0.400_0.600";"0.400_0.600";"1-Octanol";"1-Propanol";"2-Butanol";"2-propanol";"1-isobutanol"
-9.4;-7.95;-21.44;-17.46;-34.39;-27.35;-48.61;-39.91;-63.62;-53.14;1;0;0;0;0
-13.18;-12.01;-26.46;-22.75;-41.48;-34.6;-56.74;-48.68;-73.45;-63.17;1;0;0;0;0
-18.61;-16.29;-32.84;-28.72;-49.32;-42.29;-65.87;-57.89;-84.45;-73.99;1;0;0;0;0
-21.88;-19.81;-38.18;-33.77;-56.27;-48.93;-74.09;-65.99;-92.61;-83.37;1;0;0;0;0
-24.84;-22.36;-42.61;-37.94;-60.47;-53.86;-80.67;-72.62;-101.14;-91.33;1;0;0;0;0
-48.45;-56.17;-94.77;-87.56;-144.2;-125.19;-203.85;-167.42;-263.8;-218.03;0;1;0;0;0
-52.71;-59.26;-98.57;-89.2;-149.15;-126.75;-206.98;-169.59;-269.29;-220.77;0;1;0;0;0
-57.09;-60.88;-100.87;-90.63;-153.09;-127.88;-210.05;-170.99;-274.14;-222;0;1;0;0;0
-60.23;-61.76;-106.92;-91.52;-157.94;-128.49;-210.78;-171.39;-274.14;-221;0;1;0;0;0
-62.88;-62.89;-108.56;-93.26;-157.61;-129.42;-214.45;-171.58;-277.29;-219.58;0;1;0;0;0
-62.12;-65.95;-111.79;-109.16;-171.12;-155.86;-223.76;-209.93;-288.01;-269.96;0;0;1;0;0
-74.65;-68.38;-116.27;-109.51;-173.44;-157.52;-228.82;-212;-292.81;-272.04;0;0;1;0;0
-80.61;-69.71;-119.26;-110.41;-175.38;-158.87;-231.08;-213.05;-296.68;-271.47;0;0;1;0;0
-81.01;-70.72;-126.52;-110.98;-183.94;-159.84;-230.44;-213.17;-294.04;-269;0;0;1;0;0
-86.34;-71.04;-129.71;-112.33;-182.08;-160.74;-229.94;-211.24;-294.2;-266.83;0;0;1;0;0
-60.65;-56.38;-105.31;-86.28;-148.3;-117.76;-180.36;-137.76;-219.73;-164.51;0;0;0;1;0
-62.54;-56.68;-104.33;-85.74;-147.54;-114.04;-182.08;-133.1;-217.25;-159.49;0;0;0;1;0
-66.37;-57.25;-104.69;-85.93;-150.89;-109.68;-178.98;-129.79;-211.37;-155.89;0;0;0;1;0
-69.99;-57.49;-109.66;-86.03;-149.9;-106.5;-186.32;-127.54;-213.69;-153.26;0;0;0;1;0
-69.99;-58.49;-110.79;-86.69;-153.44;-104.72;-183.04;-126.16;-210.51;-150.14;0;0;0;1;0
-54.35;-56.09;-88.23;-90.54;-128.65;-132.19;-173.71;-179.36;-231.30;-239.19;0;0;0;0;1
-56.14;-57.35;-90.74;-92.60;-132.16;-135.36;-178.79;-183.93;-239.06;-246.53;0;0;0;0;1
-57.71;-58.37;-92.83;-93.91;-134.83;-137.56;-182.33;-187.16;-243.12;-250.30;0;0;0;0;1
-58.36;-58.92;-94.31;-95.13;-136.44;-138.96;-184.70;-189.32;-246.15;-252.80;0;0;0;0;1
-59.00;-59.26;-94.97;-95.51;-137.28;-139.36;-186.98;-191.19;-248.98;-255.23;0;0;0;0;1
