"0.799_0.201";"0.799_0.201";"0.700_0.300";"0.700_0.300";"0.600_0.400";"0.600_0.400";"0.501_0.499";"0.501_0.499";"0.400_0.600";"0.400_0.600";"1-Octanol";"1-Propanol";"2-Butanol";"2-propanol";"1-isobutanol"
-11.82;-13.29;-19.32;-26.28;-38.14;-50.09;-59.78;-75.04;-85.63;-104.66;1;0;0;0;0
-11.54;-14.18;-25.35;-32.75;-48.77;-60.08;-75.41;-89.72;-104.25;-121.9;1;0;0;0;0
-12.45;-15.81;-33.33;-40.64;-61.5;-72.12;-91.75;-104.67;-124.21;-139.76;1;0;0;0;0
-14.67;-18.49;-40.56;-47.67;-72.11;-82.19;-106.26;-118.26;-141.95;-155.84;1;0;0;0;0
-18.07;-19.74;-47.08;-53.5;-81.15;-89.81;-117.91;-128.1;-156.66;-168.72;1;0;0;0;0
-98.63;-97.92;-137.15;-131.93;-191.17;-180.52;-260.06;-240.69;-352.22;-321.2;0;1;0;0;0
-96.62;-96.5;-136.86;-131.75;-192.76;-182.3;-264.07;-245.29;-357.64;-327.04;0;1;0;0;0
-95.58;-95.61;-137.43;-132.2;-193.5;-183.3;-266.77;-248.06;-359.32;-329.25;0;1;0;0;0
-94.48;-94.49;-136.49;-132.39;-193.9;-184.2;-267.82;-249.31;-361.72;-331.38;0;1;0;0;0
-94.04;-93.29;-136.13;-130.11;-194.96;-183.4;-267.72;-249.56;-360.72;-330.82;0;1;0;0;0
-90.31;-97.75;-159.99;-153.6;-248.81;-219.47;-337.16;-287.02;-427.01;-360.56;0;0;1;0;0
-93.79;-99.97;-164.98;-156.41;-255.59;-223.56;-341.09;-289.88;-426.05;-360.56;0;0;1;0;0
-95.86;-101.04;-168.38;-157.85;-259.27;-224.68;-336.37;-285.85;-413.52;-351.05;0;0;1;0;0
-97.7;-102.02;-172.03;-158.71;-261.38;-224.8;-328.87;-278.99;-395.35;-334.79;0;0;1;0;0
-98.99;-101.34;-174.99;-157.25;-258.76;-222.1;-318.91;-269.47;-383.93;-325.01;0;0;1;0;0
-68.13;-53.77;-108.27;-91.8;-153.07;-135.1;-181.96;-165.24;-216.15;-202.26;0;0;0;1;0
-69.54;-55.73;-109.49;-93.98;-151.26;-134.78;-174.59;-161.28;-205.61;-195.44;0;0;0;1;0
-70.31;-57.01;-110.39;-95.45;-144.23;-129.9;-168.8;-157.56;-198.45;-190.72;0;0;0;1;0
-70.4;-57.63;-110.03;-95.97;-137.89;-125.45;-163.89;-154.37;-192.03;-186.27;0;0;0;1;0
-71.48;-57.84;-110.46;-95.21;-134.85;-122.39;-160.98;-152.93;-187.98;-183.8;0;0;0;1;0
-66.05;-55.55;-136.84;-112.44;-211.41;-176.55;-300.14;-252.75;-417.08;-353.50;0;0;0;0;1
-73.04;-60.95;-141.43;-116.96;-217.81;-183.10;-309.05;-261.66;-429.28;-365.93;0;0;0;0;1
-76.09;-63.93;-143.70;-119.61;-221.81;-187.00;-313.96;-266.76;-436.02;-372.47;0;0;0;0;1
-78.81;-65.68;-146.01;-121.49;-223.79;-189.51;-319.61;-271.93;-439.91;-376.66;0;0;0;0;1
-82.17;-67.91;-149.03;-123.40;-225.73;-191.28;-322.75;-274.53;-447.74;-381.94;0;0;0;0;1
